id,title,slug,poster_url,director,country,year,film_type,plot,genres,poster_url,combined_features
78,Những Người Còn Sót Lại (Phần 2),nhung-nguoi-con-sot-lai-phan-2,https://img.ophim.live/uploads/movies/nhung-nguoi-con-sot-lai-phan-2-thumb.jpg,Đang cập nhật,Âu Mỹ,2025,Phim Bộ,"After five years of peace following the events of the first season, Joel and Ellie's collective past catches up to them, drawing them into conflict with each other and a world even more dangerous and unpredictable than the one they left behind.",Chính Kịch,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/nhung-nguoi-con-sot-lai-phan-2-thumb.jpg,"Những Người Còn Sót Lại (Phần 2) After five years of peace following the events of the first season, Joel and Ellie's collective past catches up to them, drawing them into conflict with each other and a world even more dangerous and unpredictable than the one they left behind. Chính Kịch Đang cập nhật Âu Mỹ Phim Bộ"
79,Phàm Nhân Tu Tiên,pham-nhan-tu-tien,https://img.ophim.live/uploads/movies/pham-nhan-tu-tien-thumb.jpg,Đang cập nhật,Trung Quốc,2020,Phim Hoạt Hình,"Thiếu niên là người phàm, lại không rõ từ đâu cơ thể có được căn nguyên linh khí. Vì để người nhà được sống cuộc sống tốt hơn, bèn bước vào cuộc hành trình tu tiên",Bí Ẩn|Hành Động|Phiêu Lưu,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/pham-nhan-tu-tien-thumb.jpg,"Phàm Nhân Tu Tiên Thiếu niên là người phàm, lại không rõ từ đâu cơ thể có được căn nguyên linh khí. Vì để người nhà được sống cuộc sống tốt hơn, bèn bước vào cuộc hành trình tu tiên Bí Ẩn|Hành Động|Phiêu Lưu Đang cập nhật Trung Quốc Phim Hoạt Hình"
80,Phù Thủy Maebashi,phu-thuy-maebashi,https://img.ophim.live/uploads/movies/phu-thuy-maebashi-thumb.jpg,Đang cập nhật,Nhật Bản,2025,Phim Hoạt Hình,"Welcome to Maebashi City, Gunma Prefecture. For first-year high school student Yuina Akagi, her middling life takes a wild turn the moment a mysterious frog named Keroppe shows up and asks her, “Why don’t you become a witch?” Alongside Azu Niisato, Kyoka Kitahara, Choco Mitsumata, and Mai Kamiizumi, Yuina and her friends are excited to make people’s dreams come true as the Maebashi Witches.",Khoa Học|Viễn Tưởng,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/phu-thuy-maebashi-thumb.jpg,"Phù Thủy Maebashi Welcome to Maebashi City, Gunma Prefecture. For first-year high school student Yuina Akagi, her middling life takes a wild turn the moment a mysterious frog named Keroppe shows up and asks her, “Why don’t you become a witch?” Alongside Azu Niisato, Kyoka Kitahara, Choco Mitsumata, and Mai Kamiizumi, Yuina and her friends are excited to make people’s dreams come true as the Maebashi Witches. Khoa Học|Viễn Tưởng Đang cập nhật Nhật Bản Phim Hoạt Hình"
81,"SHIROHIYO - Đầu thai thành quý tộc mập ú, tôi dùng ký ức kiếp trước để nuôi dạy em trai",shirohiyo-dau-thai-thanh-quy-toc-map-u-toi-dung-ky-uc-kiep-truoc-de-nuoi-day-em-trai,https://img.ophim.live/uploads/movies/shirohiyo-dau-thai-thanh-quy-toc-map-u-toi-dung-ky-uc-kiep-truoc-de-nuoi-day-em-trai-thumb.jpg,Đang cập nhật,Nhật Bản,2025,Phim Hoạt Hình,"Trong thế giới lấp lánh, huyền ảo này, có rất nhiều sự sang trọng và kỳ diệu! Những yêu tinh xinh đẹp và duyên dáng, những vị thần vượt quá tầm hiểu biết của con người, sức mạnh của phép thuật—mọi thứ đều giống như một giấc mơ.",Hài Hước|Hành Động|Khoa Học|Phiêu Lưu|Viễn Tưởng,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/shirohiyo-dau-thai-thanh-quy-toc-map-u-toi-dung-ky-uc-kiep-truoc-de-nuoi-day-em-trai-thumb.jpg,"SHIROHIYO - Đầu thai thành quý tộc mập ú, tôi dùng ký ức kiếp trước để nuôi dạy em trai Trong thế giới lấp lánh, huyền ảo này, có rất nhiều sự sang trọng và kỳ diệu! Những yêu tinh xinh đẹp và duyên dáng, những vị thần vượt quá tầm hiểu biết của con người, sức mạnh của phép thuật—mọi thứ đều giống như một giấc mơ. Hài Hước|Hành Động|Khoa Học|Phiêu Lưu|Viễn Tưởng Đang cập nhật Nhật Bản Phim Hoạt Hình"
82,My Stubborn: Sao Anh Bảo Không Thích Trẻ Con,my-stubborn-sao-anh-bao-khong-thich-tre-con,https://img.ophim.live/uploads/movies/my-stubborn-sao-anh-bao-khong-thich-tre-con-thumb.jpg,Đang cập nhật,Thái Lan,2025,Phim Bộ,"Scarred by a past relationship, Sorn vows never to date anyone younger. However, meeting his sworn enemy Jun might just change his perspective.",Chính Kịch,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/my-stubborn-sao-anh-bao-khong-thich-tre-con-thumb.jpg,"My Stubborn: Sao Anh Bảo Không Thích Trẻ Con Scarred by a past relationship, Sorn vows never to date anyone younger. However, meeting his sworn enemy Jun might just change his perspective. Chính Kịch Đang cập nhật Thái Lan Phim Bộ"
83,Dưới bóng trung điện,duoi-bong-trung-dien,https://img.ophim.live/uploads/movies/duoi-bong-trung-dien-thumb.jpg,Đang cập nhật,Hàn Quốc,2022,Phim Bộ,"Một trung điện mạnh mẽ cố rèn những đứa con gây rối vào khuôn phép để một trong số họ có thể trở thành vị vua tiếp theo của Joseon, trong khi các đối thủ ganh đua giành ngai vàng.",Chính Kịch|Cổ Trang,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/duoi-bong-trung-dien-thumb.jpg,"Dưới bóng trung điện Một trung điện mạnh mẽ cố rèn những đứa con gây rối vào khuôn phép để một trong số họ có thể trở thành vị vua tiếp theo của Joseon, trong khi các đối thủ ganh đua giành ngai vàng. Chính Kịch|Cổ Trang Đang cập nhật Hàn Quốc Phim Bộ"
84,Công Chúa Ngổ Ngáo: Bạch Tuyết,cong-chua-ngo-ngao-bach-tuyet,https://img.ophim.live/uploads/movies/cong-chua-ngo-ngao-bach-tuyet-thumb.jpg,Đang cập nhật,Thái Lan,2022,Phim Bộ,"Vẻ đẹp của Bạch Tuyết đã từng là mối nguy hiểm của cô, nhưng đối với nàng Bạch Tuyết của hiện đại, ""xấu xí"" mới thật đáng sợ. Không có nhan sắc cô ấy bị tấn công bởi các phương tiện truyền thông, mạng xã hội. Cho dù bị bắt nạt đến mức nào, thì nàng Bạch Tuyết thời đại mới vẫn hiên ngang sống tốt.",Tâm Lý|Tình Cảm,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/cong-chua-ngo-ngao-bach-tuyet-thumb.jpg,"Công Chúa Ngổ Ngáo: Bạch Tuyết Vẻ đẹp của Bạch Tuyết đã từng là mối nguy hiểm của cô, nhưng đối với nàng Bạch Tuyết của hiện đại, ""xấu xí"" mới thật đáng sợ. Không có nhan sắc cô ấy bị tấn công bởi các phương tiện truyền thông, mạng xã hội. Cho dù bị bắt nạt đến mức nào, thì nàng Bạch Tuyết thời đại mới vẫn hiên ngang sống tốt. Tâm Lý|Tình Cảm Đang cập nhật Thái Lan Phim Bộ"
85,Bếp trưởng bếp ăn vặt,bep-truong-bep-an-vat,https://img.ophim.live/uploads/movies/bep-truong-bep-an-vat-thumb.jpg,Đang cập nhật,Anh,2022,Phim Bộ,"Để các nhà khoa học thực phẩm trong họ có cơ hội tỏa sáng, 12 đầu bếp làm lại các món ăn vặt kinh điển và sáng tạo ra các món ngọt riêng nhằm giành giải thưởng 50.000 USD.",Gia Đình,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/bep-truong-bep-an-vat-thumb.jpg,"Bếp trưởng bếp ăn vặt Để các nhà khoa học thực phẩm trong họ có cơ hội tỏa sáng, 12 đầu bếp làm lại các món ăn vặt kinh điển và sáng tạo ra các món ngọt riêng nhằm giành giải thưởng 50.000 USD. Gia Đình Đang cập nhật Anh Phim Bộ"
86,Firefly Lane (Phần 1),firefly-lane-phan-1,https://img.ophim.live/uploads/movies/firefly-lane-phan-1-thumb.jpg,Đang cập nhật,Âu Mỹ,2022,Phim Bộ,Chẳng trở ngại nào là quá lớn trước tình bạn suốt đời giữa Kate và Tully. Nhưng liệu có sai lầm nào có thể chia cắt họ mãi mãi hay không?,Chính Kịch,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/firefly-lane-phan-1-thumb.jpg,Firefly Lane (Phần 1) Chẳng trở ngại nào là quá lớn trước tình bạn suốt đời giữa Kate và Tully. Nhưng liệu có sai lầm nào có thể chia cắt họ mãi mãi hay không? Chính Kịch Đang cập nhật Âu Mỹ Phim Bộ
87,Hot Skull,hot-skull,https://img.ophim.live/uploads/movies/hot-skull-thumb.jpg,Đang cập nhật,Thổ Nhĩ Kỳ,2022,Phim Bộ,"Ở thế giới phản địa đàng, trước một dịch bệnh lây lan qua đường giao tiếp bằng lời nói, một tổ chức chuyên chế nhắm đến một nhà ngôn ngữ học miễn nhiễm với căn bệnh này.",Chính Kịch|Khoa Học|Viễn Tưởng,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/hot-skull-thumb.jpg,"Hot Skull Ở thế giới phản địa đàng, trước một dịch bệnh lây lan qua đường giao tiếp bằng lời nói, một tổ chức chuyên chế nhắm đến một nhà ngôn ngữ học miễn nhiễm với căn bệnh này. Chính Kịch|Khoa Học|Viễn Tưởng Đang cập nhật Thổ Nhĩ Kỳ Phim Bộ"
88,Romesh Ranganathan: Người hoài nghi,romesh-ranganathan-nguoi-hoai-nghi,https://img.ophim.live/uploads/movies/romesh-ranganathan-nguoi-hoai-nghi-thumb.jpg,Benjamin Green,Anh,2022,Phim Bộ,"Trở lại quê nhà ở Crawley, Anh, Romesh Ranganathan bông đùa về chủ nghĩa thuần chay, các con và hé lộ quá trình thực hiện chương trình hài đặc biệt của mình.",Hài Hước|Tài Liệu,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/romesh-ranganathan-nguoi-hoai-nghi-thumb.jpg,"Romesh Ranganathan: Người hoài nghi Trở lại quê nhà ở Crawley, Anh, Romesh Ranganathan bông đùa về chủ nghĩa thuần chay, các con và hé lộ quá trình thực hiện chương trình hài đặc biệt của mình. Hài Hước|Tài Liệu Benjamin Green Anh Phim Bộ"
89,Ngày Mai Sẽ Tốt Hơn,ngay-mai-se-tot-hon,https://img.ophim.live/uploads/movies/ngay-mai-se-tot-hon-thumb.jpg,Đang cập nhật,Trung Quốc,2022,Phim Bộ,"Phim kế về tình cảm bất hoà của một đôi bạn thân như chị em ruột, từ thân thiết bầu bạn cùng nhau trở nên đố kỵ hận thù, đề cao chân thiện mỹ trong nhân tính, soi ra cái ác cái xấu trong lòng người.",Tình Cảm,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/ngay-mai-se-tot-hon-thumb.jpg,"Ngày Mai Sẽ Tốt Hơn Phim kế về tình cảm bất hoà của một đôi bạn thân như chị em ruột, từ thân thiết bầu bạn cùng nhau trở nên đố kỵ hận thù, đề cao chân thiện mỹ trong nhân tính, soi ra cái ác cái xấu trong lòng người. Tình Cảm Đang cập nhật Trung Quốc Phim Bộ"
90,Người chăm voi,nguoi-cham-voi,https://img.ophim.live/uploads/movies/nguoi-cham-voi-thumb.jpg,Kartiki Gonsalves,Ấn Độ,2022,Phim Lẻ,"Bomman và Bellie là một cặp đôi ở miền nam Ấn Độ. Họ dành cả cuộc đời để chăm sóc cho bé voi mồ côi tên là Raghu, qua đó tạo nên một gia đình vô cùng đặc biệt.",Gia Đình|Khoa Học|Tài Liệu,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/nguoi-cham-voi-thumb.jpg,"Người chăm voi Bomman và Bellie là một cặp đôi ở miền nam Ấn Độ. Họ dành cả cuộc đời để chăm sóc cho bé voi mồ côi tên là Raghu, qua đó tạo nên một gia đình vô cùng đặc biệt. Gia Đình|Khoa Học|Tài Liệu Kartiki Gonsalves Ấn Độ Phim Lẻ"
91,Yêu (Kết hôn và ly dị) mùa 2,yeu-ket-hon-va-ly-di-mua-2,https://img.ophim.live/uploads/movies/yeu-ket-hon-va-ly-di-mua-2-thumb.jpg,Đang cập nhật,Hàn Quốc,2022,Phim Bộ,"Mọi thứ dần sụp đổ với ba phụ nữ chạy chương trình radio thành đạt khi các nút thắt, bước ngoặt và rắc rối nảy sinh trong những cuộc hôn nhân tưởng như hạnh phúc của họ.",Chính Kịch,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/yeu-ket-hon-va-ly-di-mua-2-thumb.jpg,"Yêu (Kết hôn và ly dị) mùa 2 Mọi thứ dần sụp đổ với ba phụ nữ chạy chương trình radio thành đạt khi các nút thắt, bước ngoặt và rắc rối nảy sinh trong những cuộc hôn nhân tưởng như hạnh phúc của họ. Chính Kịch Đang cập nhật Hàn Quốc Phim Bộ"
92,Hộ vệ công lý,ho-ve-cong-ly,https://img.ophim.live/uploads/movies/ho-ve-cong-ly-thumb.jpg,Đang cập nhật,Quốc Gia Khác,2022,Phim Bộ,"Khi thủ lĩnh dường như không biết sợ của họ tự hủy hoại mình, nhóm siêu anh hùng lo lắng phải đương đầu với cái ác đang lan tràn trên thế giới và cả trong chính họ.",Bí Ẩn|Hành Động|Khoa Học|Phiêu Lưu|Viễn Tưởng,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/ho-ve-cong-ly-thumb.jpg,"Hộ vệ công lý Khi thủ lĩnh dường như không biết sợ của họ tự hủy hoại mình, nhóm siêu anh hùng lo lắng phải đương đầu với cái ác đang lan tràn trên thế giới và cả trong chính họ. Bí Ẩn|Hành Động|Khoa Học|Phiêu Lưu|Viễn Tưởng Đang cập nhật Quốc Gia Khác Phim Bộ"
93,Ba mươi chín,ba-muoi-chin,https://img.ophim.live/uploads/movies/ba-muoi-chin-thumb.jpg,Đang cập nhật,Hàn Quốc,2022,Phim Bộ,"Dựa vào nhau qua bao hoạn nạn và gian khó, ba người bạn thân cùng sát cánh khi họ trải nghiệm cuộc sống, tình yêu và nỗi mất mát trước lúc bước sang tuổi 40.",Chính Kịch,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/ba-muoi-chin-thumb.jpg,"Ba mươi chín Dựa vào nhau qua bao hoạn nạn và gian khó, ba người bạn thân cùng sát cánh khi họ trải nghiệm cuộc sống, tình yêu và nỗi mất mát trước lúc bước sang tuổi 40. Chính Kịch Đang cập nhật Hàn Quốc Phim Bộ"
94,Anna: Tiểu thư dựng chuyện,anna-tieu-thu-dung-chuyen,https://img.ophim.live/uploads/movies/anna-tieu-thu-dung-chuyen-thumb.jpg,Đang cập nhật,Âu Mỹ,2022,Phim Bộ,"Thương nhân táo bạo hay kẻ lừa đảo? Một nhà báo lần theo câu chuyện của Anna Delvey, người khiến giới thượng lưu New York tin rằng mình thừa kế một gia sản lớn ở Đức.",Chính Kịch,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/anna-tieu-thu-dung-chuyen-thumb.jpg,"Anna: Tiểu thư dựng chuyện Thương nhân táo bạo hay kẻ lừa đảo? Một nhà báo lần theo câu chuyện của Anna Delvey, người khiến giới thượng lưu New York tin rằng mình thừa kế một gia sản lớn ở Đức. Chính Kịch Đang cập nhật Âu Mỹ Phim Bộ"
95,Chủ nghĩa ngoại hình,chu-nghia-ngoai-hinh,https://img.ophim.live/uploads/movies/chu-nghia-ngoai-hinh-thumb.jpg,Đang cập nhật,Hàn Quốc,2022,Phim Hoạt Hình,"Trong một thế giới chuộng vẻ bề ngoài, một học sinh cấp ba lạc loài sống cuộc sống hai mặt bằng cách thay phiên dùng hai cơ thể có ngoại hình đối lập hoàn toàn.",Chính Kịch,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/chu-nghia-ngoai-hinh-thumb.jpg,"Chủ nghĩa ngoại hình Trong một thế giới chuộng vẻ bề ngoài, một học sinh cấp ba lạc loài sống cuộc sống hai mặt bằng cách thay phiên dùng hai cơ thể có ngoại hình đối lập hoàn toàn. Chính Kịch Đang cập nhật Hàn Quốc Phim Hoạt Hình"
96,Công Lý Mù,blind,https://img.ophim.live/uploads/movies/blind-thumb.jpg,Shin Yong Hwi,Hàn Quốc,2022,Phim Bộ,"Bộ phim kể về câu chuyện của những người bình thường bị oan trở thành nạn nhân của những tội ác khác nhau, thủ phạm của họ, và những người cố gắng truy bắt hung thủ.",Bí Ẩn|Hình Sự|Kinh Dị,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/blind-thumb.jpg,"Công Lý Mù Bộ phim kể về câu chuyện của những người bình thường bị oan trở thành nạn nhân của những tội ác khác nhau, thủ phạm của họ, và những người cố gắng truy bắt hung thủ. Bí Ẩn|Hình Sự|Kinh Dị Shin Yong Hwi Hàn Quốc Phim Bộ"
97,Quan Sơn Cổ Mộ,quan-son-co-mo,https://img.ophim.live/uploads/movies/quan-son-co-mo-thumb.jpg,Xiang Qiu Liang,Trung Quốc,2022,Phim Lẻ,"Trương Tam Gia đã đến làng Long Đường cùng với đệ tử của mình. Để tránh rắc rối và tai họa ở Ngạc Châu, Trương Tam Gia và những người khác quyết tâm tìm ra ngôi mộ của Ma cô. Nhóm người đã vượt qua nhiều khó khăn, cuối cùng cũng tìm thấy ngôi mộ, nhưng Trương Tam Gia phát hiện ra rằng vụ trộm mộ thực chất là một cái bẫy được và sắp có một âm mưu lớn hơn đằng sau kho báu trong lăng mộ của Ma cô",Phiêu Lưu,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/quan-son-co-mo-thumb.jpg,"Quan Sơn Cổ Mộ Trương Tam Gia đã đến làng Long Đường cùng với đệ tử của mình. Để tránh rắc rối và tai họa ở Ngạc Châu, Trương Tam Gia và những người khác quyết tâm tìm ra ngôi mộ của Ma cô. Nhóm người đã vượt qua nhiều khó khăn, cuối cùng cũng tìm thấy ngôi mộ, nhưng Trương Tam Gia phát hiện ra rằng vụ trộm mộ thực chất là một cái bẫy được và sắp có một âm mưu lớn hơn đằng sau kho báu trong lăng mộ của Ma cô Phiêu Lưu Xiang Qiu Liang Trung Quốc Phim Lẻ"
98,Tôi ghét Giáng sinh,toi-ghet-giang-sinh,https://img.ophim.live/uploads/movies/toi-ghet-giang-sinh-thumb.jpg,CRIC,Ý,2022,Phim Bộ,"Sau khi nói dối gia đình về việc có bạn trai, một y tá độc thân phải tìm cho ra nửa kia bằng mọi giá trước Giáng sinh – tức là còn 24 ngày nữa.",Gia Đình|Tình Cảm,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/toi-ghet-giang-sinh-thumb.jpg,"Tôi ghét Giáng sinh Sau khi nói dối gia đình về việc có bạn trai, một y tá độc thân phải tìm cho ra nửa kia bằng mọi giá trước Giáng sinh – tức là còn 24 ngày nữa. Gia Đình|Tình Cảm CRIC Ý Phim Bộ"
99,Smiley,smiley,https://img.ophim.live/uploads/movies/smiley-thumb.jpg,Đang cập nhật,Tây Ban Nha,2022,Phim Bộ,"Hai người đàn ông và bạn bè ở Barcelona xoay xở với những do dự, những lần cúp máy giữa chừng và những mối liên hệ bị bỏ lỡ khi họ kiếm tìm tình yêu đích thực.",Gia Đình|Tình Cảm,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/smiley-thumb.jpg,"Smiley Hai người đàn ông và bạn bè ở Barcelona xoay xở với những do dự, những lần cúp máy giữa chừng và những mối liên hệ bị bỏ lỡ khi họ kiếm tìm tình yêu đích thực. Gia Đình|Tình Cảm Đang cập nhật Tây Ban Nha Phim Bộ"
100,Bông hoa đẹp nhất,bong-hoa-dep-nhat,https://img.ophim.live/uploads/movies/bong-hoa-dep-nhat-thumb.jpg,Đang cập nhật,Mexico,2022,Phim Bộ,"Dáng đẹp, tóc xoăn, tự tin, Mich biết mình tuyệt vời. Giờ cô chỉ cần thuyết phục mọi người ở trường cấp ba Xochimilco tin vào điều đó.",Tình Cảm,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/bong-hoa-dep-nhat-thumb.jpg,"Bông hoa đẹp nhất Dáng đẹp, tóc xoăn, tự tin, Mich biết mình tuyệt vời. Giờ cô chỉ cần thuyết phục mọi người ở trường cấp ba Xochimilco tin vào điều đó. Tình Cảm Đang cập nhật Mexico Phim Bộ"
101,Cá Sấu Khổng Lồ 2,ca-sau-khong-lo-2,https://img.ophim.live/uploads/movies/ca-sau-khong-lo-2-thumb.jpg,Fu Gui,Trung Quốc,2022,Phim Lẻ,"Năm 1925, một con cá sấu khổng lồ đã vô tình trốn thoát khỏi lồng và làm bị thương những người ở thành phố Bắc Hải. Thất Ca và đồ đệ Thiên Sinh được cảnh sát trưởng mời đến Bắc Hải, thầy và trò đã hợp tác với nhau để bắt con cá sấu. Nhưng điều họ không ngờ tới là một nguy hiểm sắp ập tới",Hành Động|Phiêu Lưu,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/ca-sau-khong-lo-2-thumb.jpg,"Cá Sấu Khổng Lồ 2 Năm 1925, một con cá sấu khổng lồ đã vô tình trốn thoát khỏi lồng và làm bị thương những người ở thành phố Bắc Hải. Thất Ca và đồ đệ Thiên Sinh được cảnh sát trưởng mời đến Bắc Hải, thầy và trò đã hợp tác với nhau để bắt con cá sấu. Nhưng điều họ không ngờ tới là một nguy hiểm sắp ập tới Hành Động|Phiêu Lưu Fu Gui Trung Quốc Phim Lẻ"
102,Ngọc Cơ Thư,ngoc-co-thu,https://img.ophim.live/uploads/movies/ngoc-co-thu-thumb.jpg,Đang cập nhật,Trung Quốc,2022,Phim Bộ,"Kể về câu chuyện nữ đệ tử Lưu Tiểu Tiểu của gánh múa rối Trần gia đệ nhất thiên hạ vẫn luôn lặp lại cái ngày gánh múa rối nhưng lại gặp hoả hoạ bi thảm, cho đến khi gặp được tác giả truyện tranh Tống Khả Dương đến từ tương lai, cùng nhau vạch trần chân tướng hoả hoạn, giải đáp câu đố về thân thế.",Cổ Trang|Tình Cảm,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/ngoc-co-thu-thumb.jpg,"Ngọc Cơ Thư Kể về câu chuyện nữ đệ tử Lưu Tiểu Tiểu của gánh múa rối Trần gia đệ nhất thiên hạ vẫn luôn lặp lại cái ngày gánh múa rối nhưng lại gặp hoả hoạ bi thảm, cho đến khi gặp được tác giả truyện tranh Tống Khả Dương đến từ tương lai, cùng nhau vạch trần chân tướng hoả hoạn, giải đáp câu đố về thân thế. Cổ Trang|Tình Cảm Đang cập nhật Trung Quốc Phim Bộ"
103,Sebastian Maniscalco: Là tôi à?,sebastian-maniscalco-la-toi-a,https://img.ophim.live/uploads/movies/sebastian-maniscalco-la-toi-a-thumb.jpg,Peter Segal,Âu Mỹ,2022,Phim Lẻ,"Trong chương trình hài độc thoại sống động này, Sebastian bức xúc về những nỗi khổ nhỏ nhặt trong cuộc sống, từ đưa con đến trường, chó được thả rông đến những tối hẹn hò với vợ.",Hài Hước,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/sebastian-maniscalco-la-toi-a-thumb.jpg,"Sebastian Maniscalco: Là tôi à? Trong chương trình hài độc thoại sống động này, Sebastian bức xúc về những nỗi khổ nhỏ nhặt trong cuộc sống, từ đưa con đến trường, chó được thả rông đến những tối hẹn hò với vợ. Hài Hước Peter Segal Âu Mỹ Phim Lẻ"
104,Nhóc trùm: Tập phim Giáng sinh đặc biệt,nhoc-trum-tap-phim-giang-sinh-dac-biet,https://img.ophim.live/uploads/movies/nhoc-trum-tap-phim-giang-sinh-dac-biet-thumb.jpg,Đang cập nhật,Âu Mỹ,2022,Phim Hoạt Hình,"Đêm Giáng Sinh ""có biến"" khi Nhóc Trùm vô tình hoán đổi vị trí với một trong những yêu tinh của Ông già Noel và bị mắc kẹt ở Bắc Cực.",Gia Đình|Hài Hước,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/nhoc-trum-tap-phim-giang-sinh-dac-biet-thumb.jpg,"Nhóc trùm: Tập phim Giáng sinh đặc biệt Đêm Giáng Sinh ""có biến"" khi Nhóc Trùm vô tình hoán đổi vị trí với một trong những yêu tinh của Ông già Noel và bị mắc kẹt ở Bắc Cực. Gia Đình|Hài Hước Đang cập nhật Âu Mỹ Phim Hoạt Hình"
105,Giao trước Giáng sinh,giao-truoc-giang-sinh,https://img.ophim.live/uploads/movies/giao-truoc-giang-sinh-thumb.jpg,Aleksandra Kułakowska,Ba lan,2022,Phim Lẻ,"Khi một đồng nghiệp hằn học phá hoại các chuyến giao hàng của cô, một người chuyển phát nhanh và một khách hàng tốt bụng phải gấp rút trả lại quà Giáng sinh cho người nhận dự kiến.",Hài Hước,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/giao-truoc-giang-sinh-thumb.jpg,"Giao trước Giáng sinh Khi một đồng nghiệp hằn học phá hoại các chuyến giao hàng của cô, một người chuyển phát nhanh và một khách hàng tốt bụng phải gấp rút trả lại quà Giáng sinh cho người nhận dự kiến. Hài Hước Aleksandra Kułakowska Ba lan Phim Lẻ"
106,Chuyện Tình Bắc Kinh,chuyen-tinh-bac-kinh,https://img.ophim.live/uploads/movies/chuyen-tinh-bac-kinh-thumb.jpg,陈思诚,Trung Quốc,2012,Phim Bộ,"5 câu chuyện của 5 cặp đôi ở lứa tuổi, hoàn cảnh và nghề nghiệp khác nhau vẽ nên một Chuyện Tình Bắc Kinh cực đẹp, những mâu thuẫn, những đau khổ hay hạnh phúc, lãng mạng điều được khác họa một cách đậm nét trong phim. Đặc biệt phim có sự tham gia của các diễn viên gạo cội như Lương Gia Huy, Lưu Gia Linh, Tư Cầm Cao Oa…",Chính Kịch,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/chuyen-tinh-bac-kinh-thumb.jpg,"Chuyện Tình Bắc Kinh 5 câu chuyện của 5 cặp đôi ở lứa tuổi, hoàn cảnh và nghề nghiệp khác nhau vẽ nên một Chuyện Tình Bắc Kinh cực đẹp, những mâu thuẫn, những đau khổ hay hạnh phúc, lãng mạng điều được khác họa một cách đậm nét trong phim. Đặc biệt phim có sự tham gia của các diễn viên gạo cội như Lương Gia Huy, Lưu Gia Linh, Tư Cầm Cao Oa… Chính Kịch 陈思诚 Trung Quốc Phim Bộ"
107,Just in Time,just-in-time,https://img.ophim.live/uploads/movies/just-in-time-thumb.jpg,韩晓军,Trung Quốc,2024,Phim Bộ,"Middle-aged Xu Men Gan thought she had everything under control, but her life suddenly went out of control. The company laid off a large number of employees, promotion was blocked, her husband Li Lin lost his job, her daughter was suspected of premature love, and she unexpectedly had a second child. All these problems came at once, leaving her exhausted. How to find the motivation to start again under the pressure of reality and strive to balance between self-growth and family responsibilities are the problems she needs to solve urgently.

On the other hand, her best friend, Chen Wan Zhen, was ignored by her husband, Yu Hai, in her life as a full-time housewife. She was so distressed that she decided to return to the workplace. Xu Men Gan's sister, Xu Meng Xin ​, suffered from hormone imbalance during pregnancy. In the struggle and pain, they overcame the difficulties with softness and finally opened up a new situation in life and achieved a second growth.",Chính Kịch|Gia Đình,http://localhost:5173/images/movies/https://img.ophim.live/uploads/movies/just-in-time-thumb.jpg,"Just in Time Middle-aged Xu Men Gan thought she had everything under control, but her life suddenly went out of control. The company laid off a large number of employees, promotion was blocked, her husband Li Lin lost his job, her daughter was suspected of premature love, and she unexpectedly had a second child. All these problems came at once, leaving her exhausted. How to find the motivation to start again under the pressure of reality and strive to balance between self-growth and family responsibilities are the problems she needs to solve urgently.

On the other hand, her best friend, Chen Wan Zhen, was ignored by her husband, Yu Hai, in her life as a full-time housewife. She was so distressed that she decided to return to the workplace. Xu Men Gan's sister, Xu Meng Xin ​, suffered from hormone imbalance during pregnancy. In the struggle and pain, they overcame the difficulties with softness and finally opened up a new situation in life and achieved a second growth. Chính Kịch|Gia Đình 韩晓军 Trung Quốc Phim Bộ"
